CMD;Liste;Libellé liste;Code;Libellé code
01;A-003;Interventions sur le rachis;AFFA009-00/0;Exérèse de tumeur intradurale extraspinale avec reconstruction vertébrale  par abord antérieur ou antérolatéral
01;A-003;Interventions sur le rachis;AFFA010-00/0;Exérèse de tumeur épidurale rachidienne  par abord postérieur
01;A-003;Interventions sur le rachis;AFFA011-00/0;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale  par abord antérieur ou antérolatéral
01;A-003;Interventions sur le rachis;AFGA001-00/0;Ablation d un système diffuseur ou d une pompe implanté souscutané et du cathéter péridural [épidural] ou intrathécal spinal
01;A-003;Interventions sur le rachis;AFGA002-00/0;Ablation d une dérivation interne intraspinale du liquide cérébrospinal rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFJA001-00/0;Évacuation d hématome péridural [épidural] rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFJA002-00/0;Parage d une épidurite et ou d une spondylodiscite sans reconstruction vertébrale  par abord direct
01;A-003;Interventions sur le rachis;AFJA003-00/0;Évacuation d hématome intradural rachidien  par abord direct
01;A-003;Interventions sur le rachis;AFJA004-00/0;Évacuation d hématome péridural [épidural] rachidien postopératoire  par abord direct
01;A-003;Interventions sur le rachis;AFJA005-00/0;Parage d une épidurite et ou d une spondylodiscite avec reconstruction vertébrale par greffe et ou ostéosynthèse  par abord direct
01;A-003;Interventions sur le rachis;AFKB001-00/0;Changement d un cathéter intrathécal spinal relié à un système diffuseur ou une pompe implanté souscutané
01;A-003;Interventions sur le rachis;AFKB002-00/0;Changement d un cathéter péridural [épidural] relié à un système diffuseur ou à une pompe implanté souscutané
01;A-003;Interventions sur le rachis;AFLA003-00/0;Pose d un cathéter intrathécal ou intrakystique spinal  avec pose d un système diffuseur ou d une pompe implantable souscutané
01;A-003;Interventions sur le rachis;AFLB008-00/0;Pose d un cathéter péridural [épidural]  avec pose d un système diffuseur ou d une pompe implantable souscutané
01;A-003;Interventions sur le rachis;AFPA001-00/0;Mise à plat de lésion infectieuse péridurale rachidienne et ou paravertébrale postopératoire [sepsis]  par abord direct
01;A-003;Interventions sur le rachis;AFSA001-00/0;Fermeture d un spina bifida avec myéloméningocèle  par abord postérieur
01;A-003;Interventions sur le rachis;AFSA002-00/0;Fermeture d un spina bifida avec méningocèle  par abord postérieur
01;A-003;Interventions sur le rachis;AFSA003-00/0;Fermeture d une fistule de liquide cérébrospinal ou d une méningocèle postopératoire spinale
01;A-003;Interventions sur le rachis;AHFA003-00/0;Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval]  par abord postérieur
01;A-003;Interventions sur le rachis;AHFA007-00/0;Exérèse de lésion de la queue de cheval sur un étage vertébral  par abord postérieur
